Code;Nom_commune;Code_postal;Zonage dentistes
01103;CHEVRY;01170;3_intermediaire
01104;CHEZERY FORENS;01200;1_Tres_sous_dotee
01104;CHEZERY FORENS;01410;1_Tres_sous_dotee
01105;CIVRIEUX;01390;3_intermediaire
01106;CIZE;01250;3_intermediaire
01107;CLEYZIEU;01230;3_intermediaire
01108;COLIGNY;01270;1_Tres_sous_dotee
01109;COLLONGES;01550;1_Tres_sous_dotee
01110;COLOMIEU;01300;1_Tres_sous_dotee
01111;CONAND;01230;3_intermediaire
01112;CONDAMINE;01430;1_Tres_sous_dotee
01113;CONDEISSIAT;01400;1_Tres_sous_dotee
01114;CONFORT;01200;1_Tres_sous_dotee
01115;CONFRANCON;01310;1_Tres_sous_dotee
01116;CONTREVOZ;01300;1_Tres_sous_dotee
01117;CONZIEU;01300;1_Tres_sous_dotee
01118;CORBONOD;01420;1_Tres_sous_dotee
01121;CORLIER;01110;1_Tres_sous_dotee
01123;CORMORANCHE SUR SAONE;01290;1_Tres_sous_dotee
01124;CORMOZ;01560;1_Tres_sous_dotee
01125;CORVEISSIAT;01250;3_intermediaire
01127;COURMANGOUX;01370;1_Tres_sous_dotee
01128;COURTES;01560;1_Tres_sous_dotee
01129;CRANS;01320;1_Tres_sous_dotee
01130;BRESSE VALLONS;01340;1_Tres_sous_dotee
01130;BRESSE VALLONS;01340;1_Tres_sous_dotee
01133;CRESSIN ROCHEFORT;01350;1_Tres_sous_dotee
01134;CROTTET;01290;3_intermediaire
01134;CROTTET;01750;3_intermediaire
01135;CROZET;01170;3_intermediaire
01136;CRUZILLES LES MEPILLAT;01290;3_intermediaire
01138;CULOZ BEON;01350;1_Tres_sous_dotee
01138;CULOZ BEON;01350;1_Tres_sous_dotee
01139;CURCIAT DONGALON;01560;1_Tres_sous_dotee
01140;CURTAFOND;01310;1_Tres_sous_dotee
01141;CUZIEU;01300;1_Tres_sous_dotee
01142;DAGNEUX;01120;1_Tres_sous_dotee
01143;DIVONNE LES BAINS;01220;2_Sous_dotee
01145;DOMPIERRE SUR VEYLE;01240;1_Tres_sous_dotee
01146;DOMPIERRE SUR CHALARONNE;01400;1_Tres_sous_dotee
01147;DOMSURE;01270;1_Tres_sous_dotee
01148;DORTAN;01590;3_intermediaire
01149;DOUVRES;01500;3_intermediaire
01150;DROM;01250;3_intermediaire
01151;DRUILLAT;01160;3_intermediaire
01152;ECHALLON;01130;3_intermediaire
01153;ECHENEVEX;01170;3_intermediaire
01155;EVOSGES;01230;1_Tres_sous_dotee
01156;FARAMANS;01800;1_Tres_sous_dotee
01157;FAREINS;01480;4_Tres_dotee
01158;FARGES;01550;1_Tres_sous_dotee
01159;FEILLENS;01570;3_intermediaire
01160;FERNEY VOLTAIRE;01210;3_intermediaire
01162;FLAXIEU;01350;1_Tres_sous_dotee
01163;FOISSIAT;01340;1_Tres_sous_dotee
01165;FRANCHELEINS;01090;3_intermediaire
01165;FRANCHELEINS;01090;3_intermediaire
01165;FRANCHELEINS;01090;3_intermediaire
01166;FRANS;01480;3_intermediaire
01167;GARNERANS;01140;1_Tres_sous_dotee
01169;GENOUILLEUX;01090;3_intermediaire
01170;BEARD GEOVREISSIAT;01460;1_Tres_sous_dotee
01171;GEOVREISSET;01100;3_intermediaire
01173;GEX;01170;3_intermediaire
01174;GIRON;01130;1_Tres_sous_dotee
01175;GORREVOD;01190;1_Tres_sous_dotee
01177;GRAND CORENT;01250;3_intermediaire
01179;GRIEGES;01290;3_intermediaire
01180;GRILLY;01220;2_Sous_dotee
01181;GROISSIAT;01100;3_intermediaire
01183;GUEREINS;01090;3_intermediaire
01184;HAUTECOURT ROMANECHE;01250;3_intermediaire
01184;HAUTECOURT ROMANECHE;01250;3_intermediaire
01185;PLATEAU D HAUTEVILLE;01110;1_Tres_sous_dotee
01185;PLATEAU D HAUTEVILLE;01110;1_Tres_sous_dotee
01185;PLATEAU D HAUTEVILLE;01110;1_Tres_sous_dotee
01185;PLATEAU D HAUTEVILLE;01110;1_Tres_sous_dotee
01187;HAUT VALROMEY;01260;1_Tres_sous_dotee
01187;HAUT VALROMEY;01260;1_Tres_sous_dotee
01187;HAUT VALROMEY;01260;1_Tres_sous_dotee
01187;HAUT VALROMEY;01260;1_Tres_sous_dotee
01187;HAUT VALROMEY;01260;1_Tres_sous_dotee
01188;ILLIAT;01140;1_Tres_sous_dotee
01189;INJOUX GENISSIAT;01200;1_Tres_sous_dotee
01189;INJOUX GENISSIAT;01200;1_Tres_sous_dotee
01190;INNIMOND;01680;1_Tres_sous_dotee
01191;IZENAVE;01430;1_Tres_sous_dotee
01192;IZERNORE;01580;3_intermediaire
01193;IZIEU;01300;1_Tres_sous_dotee
01194;JASSANS RIOTTIER;01480;3_intermediaire
01195;JASSERON;01250;3_intermediaire
01196;JAYAT;01340;1_Tres_sous_dotee
01197;JOURNANS;01250;1_Tres_sous_dotee
01198;JOYEUX;01800;2_Sous_dotee
01199;JUJURIEUX;01640;3_intermediaire
01200;LABALME;01450;1_Tres_sous_dotee
01202;LAGNIEU;01150;3_intermediaire
01203;LAIZ;01290;3_intermediaire
01204;LE POIZAT LALLEYRIAT;01130;1_Tres_sous_dotee
01204;LE POIZAT LALLEYRIAT;01130;1_Tres_sous_dotee
01206;LANTENAY;01430;1_Tres_sous_dotee
01207;LAPEYROUSE;01330;2_Sous_dotee
01208;LAVOURS;01350;1_Tres_sous_dotee
01209;LEAZ;01200;1_Tres_sous_dotee
01210;LELEX;01410;3_intermediaire
01211;LENT;01240;1_Tres_sous_dotee
01212;LESCHEROUX;01560;1_Tres_sous_dotee
01213;LEYMENT;01150;3_intermediaire
01214;LEYSSARD;01450;1_Tres_sous_dotee
